co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,season,aer_ai
0.0478436771848056,0.0043540784533035,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2079751924822845,0.2029096712808078,0.0994891753831184,1,25,11,3,-0.4578949966653088
0.0478436771848056,0.0464368458895901,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2411953356207185,0.2410095863642408,0.1426138930395802,2,25,11,3,-0.4578949966653088
0.0478436771848056,0.1053567148677798,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2663801539858277,0.2695231372067565,0.170761371928971,3,25,11,3,-0.4578949966653088
0.0478436771848056,0.1017815770552049,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2611510027943829,0.265456349815332,0.1672516245612816,4,25,11,3,-0.4578949966653088
0.0478436771848056,0.0857234161540305,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2572188225861602,0.2629958155571243,0.1619696285227786,5,25,11,3,-0.4578949966653088
0.0478436771848056,0.0567028840776543,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2507988162192117,0.2540949223985349,0.1461236404072697,6,25,11,3,-0.4578949966653088
0.0478436771848056,0.0290205320763761,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1774079445368045,0.170922725924107,0.0444452166660875,7,25,11,3,-0.4578949966653088
0.0478436771848056,0.0232084365263241,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1554596583070991,0.1475297463756995,0.0229002328248253,8,25,11,3,-0.4578949966653088
0.0478436771848056,0.0140608772069984,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1483734804805867,0.1405676109798144,0.0209194843103867,9,25,11,3,-0.4578949966653088
0.0478436771848056,0.0061915794519453,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1529364602124674,0.1469158916751071,0.0422559683080237,10,25,11,3,-0.4578949966653088
0.0478436771848056,0.0025365502916034,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1607536580477049,0.1582057027101684,0.0739479445390416,11,25,11,3,-0.4578949966653088
0.0478436771848056,0.0003794839018934,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1627109051678398,0.164170324217591,0.0968481773638669,12,25,11,3,-0.4578949966653088
0.0478436771848056,0.0011983702165055,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1671559784467004,0.1734753383874037,0.1232581575563818,13,25,11,3,-0.4578949966653088
0.0478436771848056,0.0132819365662698,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1851485031775789,0.1981216046161873,0.1601973798519651,14,25,11,3,-0.4578949966653088
0.0478436771848056,0.0321362946392905,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2071203706978883,0.2257501815986822,0.176043367967474,15,25,11,3,-0.4578949966653088
0.0478436771848056,0.0392865702644403,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2214813766757454,0.243439427887419,0.1461236404072697,16,25,11,3,-0.4578949966653088
0.0478436771848056,0.0361708077015259,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2256022072088005,0.2474857534554904,0.1109219168085624,17,25,11,3,-0.4578949966653088
0.0478436771848056,0.0263441719261803,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2105632391260773,0.2282362931360813,0.0713069465197901,18,25,11,3,-0.4578949966653088
0.0478436771848056,0.0142805784133578,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1860917548017403,0.196996204331768,0.0422559683080237,19,25,11,3,-0.4578949966653088
0.0478436771848056,0.0094870975473356,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1721316307641517,0.1791688407353979,0.0334642249018313,20,25,11,3,-0.4578949966653088
0.0478436771848056,0.0084884557002476,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1611368540200205,0.1665336648148716,0.030371477221392,21,25,11,3,-0.4578949966653088
0.0478436771848056,0.0108252776224334,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1534847252190112,0.1563334458733617,0.0275219793585154,22,25,11,3,-0.4578949966653088
0.0478436771848056,0.0162978349444755,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1486682466131371,0.1483431038539844,0.0246377315217013,23,25,11,3,-0.4578949966653088
0.0478436771848056,0.0263441719261803,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1463336988433377,0.1439386963772341,0.0252979810265142,0,26,11,3,-0.4578949966653088
0.0478436771848056,0.047775025964688,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1510676429320976,0.1485170293524855,0.035653473259895,1,26,11,3,-0.4578949966653088
0.0478436771848056,0.0955300790924342,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1752738377371393,0.1759563344689645,0.0607429544427841,2,26,11,3,-0.4578949966653088
0.0478436771848056,0.1339378445314372,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1921698324549302,0.1961009995600708,0.082739687945234,3,26,11,3,-0.4578949966653088
0.0478436771848056,0.0937524966046177,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1701920696119698,0.172989370082768,0.086284185286861,4,26,11,3,-0.4578949966653088
0.0478436771848056,0.0687465047535351,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1488922688738754,0.1535864460882109,0.0985856760607429,5,26,11,3,-0.4578949966653088
0.0478436771848056,0.0473156507150275,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.1156485444448374,0.122146854506205,0.092434930673802,6,26,11,3,-0.4578949966653088
